Well Count,Total Water (bbl),Total Oil (bbl),Total Gas (cf),State,County,Average Water Per Well (bbl),Average TD (ft),Average Lateral Length (ft),Average GL Elevation (ft),Average Oil Per Well (bbl),Average Gas Per Well (cf),Average Emissions Per Well (tons),State,County,Pollutant,Emissions (tons),Pollutant,Emissions (tons),Pollutant,Emissions (tons),,
60,25000000,12000000,11000000000,North Dakota,Billings,416667,9386,290,2242,200000,183333333,0,North Dakota,Billings,,,,,,,,
201,67000000,25000000,588000000,North Dakota,Bottineau,333333,3968,235,844,124378,2925373,0,North Dakota,Bottineau,,,,,,,,
297,32000000,44000000,21000000000,North Dakota,Bowman,107744,14163,4825,2457,148148,70707071,0,North Dakota,Bowman,,,,,,,,
48,5000000,7000000,4000000000,North Dakota,Mc Kenzie,104167,10063,303,1427,145833,83333333,0,North Dakota,Mc Kenzie,,,,,,,,
81,31000000,6000000,693000000,North Dakota,Renville,382716,5006,177,1451,74074,8555556,0,North Dakota,Renville,,,,,,,,
55,16000000,34000000,51000000000,North Dakota,Williams,290909,10272,113,946,618182,927272727,0,North Dakota,Williams,,,,,,,,
35,9000,2000,7000000,Ohio,Wayne,257,3260,2103,1002,57,200000,0,Ohio,Wayne,,,,,,,,
97,6000000,3000000,11000000000,South Dakota,Harding,61856,10222,3672,3061,30928,113402062,0,South Dakota,Harding,,,,,,,,
168,307000,21000000,39000000000,Texas,Anderson,1827,2305,4743,273,125000,232142857,0,Texas,Anderson,,,,,,,,
3271,95000000,245000000,186000000000,Texas,Andrews,29043,5968,1128,1971,74901,56863345,0,Texas,Andrews,,,,,,,,
1237,49000000,19000000,2000000000,Texas,Archer,39612,2167,786,418,15360,1616815,0,Texas,Archer,,,,,,,,
181,9000000,6000000,6000000000,Texas,Atascosa,49724,4106,2940,233,33149,33149171,0,Texas,Atascosa,,,,,,,,
349,17000000,102000000,92000000000,Texas,Borden,48711,7499,2272,1452,292264,263610315,0,Texas,Borden,,,,,,,,
77,9190000,7000000,4000000000,Texas,Brazoria,119351,6283,585,30,90909,51948052,0,Texas,Brazoria,,,,,,,,
83,8000000,7000000,8000000000,Texas,Brazos,96386,9117,2248,125,84337,96385542,0,Texas,Brazos,,,,,,,,
268,1000000,1000000,2000000000,Texas,Brown,3731,1539,392,616,3731,7462687,0,Texas,Brown,,,,,,,,
586,16000000,5000000,2000000000,Texas,Callahan,27304,1340,558,620,8532,3412969,0,Texas,Callahan,,,,,,,,
118,8000000,7000000,11000000000,Texas,Cass,67797,6589,3419,91,59322,93220339,0,Texas,Cass,,,,,,,,
525,23000000,9000000,3000000000,Texas,Clay,43810,2691,3673,348,17143,5714286,0,Texas,Clay,,,,,,,,
1196,13000000,53000000,35000000000,Texas,Cochran,10870,5100,1815,1880,44314,29264214,0,Texas,Cochran,,,,,,,,
199,4000000,9000000,29000000000,Texas,Coke,20101,6247,1398,946,45226,145728643,0,Texas,Coke,,,,,,,,
304,4000000,2000000,4000000000,Texas,Coleman,13158,2469,1218,723,6579,13157895,0,Texas,Coleman,,,,,,,,
72,737000,3000000000,4000000000,Texas,Concho,10236,2484,272,1102,41666667,55555556,0,Texas,Concho,,,,,,,,
877,57000000,35000000,7000000000,Texas,Cooke,64994,2769,876,385,39909,7981756,0,Texas,Cooke,,,,,,,,
1770,14000000,179000000,159000000000,Texas,Crane,7910,3919,812,1702,101130,89830508,0,Texas,Crane,,,,,,,,
326,3000000,13000000,9000000000,Texas,Crockett,9202,2959,1243,1365,39877,27607362,0,Texas,Crockett,,,,,,,,
385,22000000,3000000,465000000,Texas,Crosby,57143,4519,617,1887,7792,1207792,0,Texas,Crosby,,,,,,,,
95,93000,2000000,2000000000,Texas,Culberson,979,3852,1224,1516,21053,21052632,0,Texas,Culberson,,,,,,,,
719,28000000,44000000,19000000000,Texas,Dawson,38943,6296,4610,1422,61196,26425591,0,Texas,Dawson,,,,,,,,
73,4000000,2000000,314000000,Texas,Dickens,54795,4625,1778,1162,27397,4301370,0,Texas,Dickens,,,,,,,,
298,3000000,20000000,30000000000,Texas,Dimmit,10067,4734,5851,249,67114,100671141,0,Texas,Dimmit,,,,,,,,
396,12000000,14000000,14000000000,Texas,Duval,30303,2364,2642,224,35354,35353535,0,Texas,Duval,,,,,,,,
413,14000000,5000000,7000000000,Texas,Eastland,33898,2269,1285,678,12107,16949153,0,Texas,Eastland,,,,,,,,
3957,174000000,354000000,340000000000,Texas,Ector,43973,5063,858,1671,89462,85923680,0,Texas,Ector,,,,,,,,
272,42000000,25000000,23000000000,Texas,Fisher,154412,5002,1013,894,91912,84558824,0,Texas,Fisher,,,,,,,,
326,3000000,12000000,5000000000,Texas,Frio,9202,3462,602,193,36810,15337423,0,Texas,Frio,,,,,,,,
2217,128000000,367000000,393000000000,Texas,Gaines,57736,6422,1569,1945,165539,177266576,0,Texas,Gaines,,,,,,,,
728,14000000,28000000,5000000000,Texas,Garza,19231,3531,946,1365,38462,6868132,0,Texas,Garza,,,,,,,,
188,110000000,8000000,5000000000,Texas,Glasscock,585106,3777,813,1203,42553,26595745,0,Texas,Glasscock,,,,,,,,
350,2000000,27000000,24000000000,Texas,Gray,5714,3040,1477,1398,77143,68571429,0,Texas,Gray,,,,,,,,
203,158000000,39000000,21000000000,Texas,Grayson,778325,6201,1615,381,192118,103448276,0,Texas,Grayson,,,,,,,,
217,1000000,6000000,2000000000,Texas,Hardin,4608,1844,512,25,27650,9216590,0,Texas,Hardin,,,,,,,,
71,732000,36000000,132000000000,Texas,Harris,10310,6335,483,23,507042,1859154930,0,Texas,Harris,,,,,,,,
72,157000,3000000,1000000000,Texas,Harrison,2181,4977,1709,130,41667,13888889,0,Texas,Harrison,,,,,,,,
246,3000000,7000000,2000000000,Texas,Haskell,12195,4382,1545,757,28455,8130081,0,Texas,Haskell,,,,,,,,
2362,19000000,216000000,200000000000,Texas,Hockley,8044,5336,1291,1740,91448,84674005,0,Texas,Hockley,,,,,,,,
1541,642000000,78000000,19000000000,Texas,Howard,416613,3161,2117,1336,50616,12329656,0,Texas,Howard,,,,,,,,
199,24000000,11000000,20000000000,Texas,Hutchinson,120603,3182,773,1423,55276,100502513,0,Texas,Hutchinson,,,,,,,,
203,2000000,7000000,12000000000,Texas,Irion,9852,3837,1170,1383,34483,59113300,0,Texas,Irion,,,,,,,,
434,5000000,6000000,3000000000,Texas,Jack,11521,2170,1438,450,13825,6912442,0,Texas,Jack,,,,,,,,
154,3000000,31000000,31000000000,Texas,Jackson,19481,6399,813,20,201299,201298701,0,Texas,Jackson,,,,,,,,
51,16000000,5000000,23000000000,Texas,Jim Wells,313725,6106,7216,63,98039,450980392,0,Texas,Jim Wells,,,,,,,,
339,16000000,6000000,2000000000,Texas,Jones,47198,2874,794,769,17699,5899705,0,Texas,Jones,,,,,,,,
196,2000000,67000000,43000000000,Texas,Kent,10204,6324,767,1260,341837,219387755,0,Texas,Kent,,,,,,,,
315,168000000,37000000,4000000000,Texas,King,533333,5143,561,895,117460,12698413,0,Texas,King,,,,,,,,
58,150000,2000000,22000000000,Texas,Kleberg,2586,7484,6361,35,34483,379310345,0,Texas,Kleberg,,,,,,,,
196,29000000,7000000,1000000000,Texas,Knox,147959,3154,3908,625,35714,5102041,0,Texas,Knox,,,,,,,,
65,445000,5000000,3000000000,Texas,Lamb,6846,5634,3231,1471,76923,46153846,0,Texas,Lamb,,,,,,,,
93,1000000,8000000,18000000000,Texas,Leon,10753,8984,204,158,86022,193548387,0,Texas,Leon,,,,,,,,
201,3000000,4000000,12000000000,Texas,Loving,14925,5541,1263,1560,19900,59701493,0,Texas,Loving,,,,,,,,
245,13000000,11000000,3000000000,Texas,Lubbock,53061,5415,1060,1696,44898,12244898,0,Texas,Lubbock,,,,,,,,
67,3000000,5000000,2000000000,Texas,Lynn,44776,4629,3433,1147,74627,29850746,0,Texas,Lynn,,,,,,,,
189,2000000,6000000,4000000000,Texas,Martin,10582,7287,1550,1636,31746,21164021,0,Texas,Martin,,,,,,,,
659,41000,3000000,1000000000,Texas,Maverick,62,1681,1032,329,4552,1517451,0,Texas,Maverick,,,,,,,,
267,6000000,23000000,32000000000,Texas,Midland,22472,7957,3116,1301,86142,119850187,0,Texas,Midland,,,,,,,,
109,11000,88000,43000,Texas,Milam,101,1201,266,151,807,394,0,Texas,Milam,,,,,,,,
1273,9000000,22000000,7000000000,Texas,Mitchell,7070,3128,1963,1223,17282,5498822,0,Texas,Mitchell,,,,,,,,
452,39000000,8000000,9000000000,Texas,Montague,86283,3117,4015,384,17699,19911504,0,Texas,Montague,,,,,,,,
577,3000000,4000000,1000000000,Texas,Navarro,5199,1039,1007,142,6932,1733102,0,Texas,Navarro,,,,,,,,
359,5000000,20000000,24000000000,Texas,Nolan,13928,6042,604,1052,55710,66852368,0,Texas,Nolan,,,,,,,,
88,142000000,12000000,9000000000,Texas,Ochiltree,1613636,7909,3717,1783,136364,102272727,0,Texas,Ochiltree,,,,,,,,
107,6000000,1000000,3000000000,Texas,Palo Pinto,56075,2009,1712,596,9346,28037383,0,Texas,Palo Pinto,,,,,,,,
1222,25000000,88000000,189000000000,Texas,Pecos,20458,2175,1063,1578,72013,154664484,0,Texas,Pecos,,,,,,,,
85,2000000,3000000,3000000000,Texas,Reagan,23529,5496,2485,1549,35294,35294118,0,Texas,Reagan,,,,,,,,
249,2000000,5000000,6000000000,Texas,Reeves,8032,4651,1508,1368,20080,24096386,0,Texas,Reeves,,,,,,,,
161,15000000,69000000,81000000000,Texas,Refugio,93168,5815,954,40,428571,503105590,0,Texas,Refugio,,,,,,,,
144,4000000,5000000,3000000000,Texas,Runnels,27778,3876,3974,763,34722,20833333,0,Texas,Runnels,,,,,,,,
191,16000000,7000000,2000000000,Texas,Rusk,83770,4140,667,181,36649,10471204,0,Texas,Rusk,,,,,,,,
75,882000,5000000,9000000000,Texas,Schleicher,11760,4708,4114,1029,66667,120000000,0,Texas,Schleicher,,,,,,,,
2245,122000000,621000000,2000000000000,Texas,Scurry,54343,5644,1036,1082,276615,890868597,0,Texas,Scurry,,,,,,,,
945,21000000,8000000,3000000000,Texas,Shackelford,22222,1447,1077,720,8466,3174603,0,Texas,Shackelford,,,,,,,,
88,6000000,6000000,6000000000,Texas,Smith,68182,7695,1762,271,68182,68181818,0,Texas,Smith,,,,,,,,
71,360000,5000000,11000000000,Texas,Starr,5070,4482,2277,151,70423,154929577,0,Texas,Starr,,,,,,,,
918,7000000,21000000,12000000000,Texas,Stephens,7625,3279,733,655,22876,13071895,0,Texas,Stephens,,,,,,,,
106,4000000,4000000,2000000000,Texas,Sterling,37736,3214,3790,1397,37736,18867925,0,Texas,Sterling,,,,,,,,
716,65000000,43000000,15000000000,Texas,Stonewall,90782,4796,852,861,60056,20949721,0,Texas,Stonewall,,,,,,,,
292,18000000,7000000,3000000000,Texas,Taylor,61644,3495,808,885,23973,10273973,0,Texas,Taylor,,,,,,,,
595,41000000,62000000,13000000000,Texas,Terry,68908,6699,1276,1855,104202,21848739,0,Texas,Terry,,,,,,,,
357,7000000,7000000,1000000000,Texas,Throckmorton,19608,2909,458,556,19608,2801120,0,Texas,Throckmorton,,,,,,,,
157,2000000,3000000,8000000000,Texas,Tom Green,12739,3608,5467,1122,19108,50955414,0,Texas,Tom Green,,,,,,,,
775,18000000,82000000,116000000000,Texas,Upton,23226,4045,2034,1447,105806,149677419,0,Texas,Upton,,,,,,,,
89,5000000,11000000,4000000000,Texas,Van Zandt,56180,3189,450,186,123596,44943820,0,Texas,Van Zandt,,,,,,,,
1952,122000000,68000000,35000000000,Texas,Ward,62500,3298,1048,1492,34836,17930328,0,Texas,Ward,,,,,,,,
120,178000000,4000000,2000000000,Texas,Webb,1483333,2433,5696,345,33333,16666667,0,Texas,Webb,,,,,,,,
2653,237000000,47000000,4000000000,Texas,Wichita,89333,1876,1324,437,17716,1507727,0,Texas,Wichita,,,,,,,,
490,66000000,13000000,1000000000,Texas,Wilbarger,134694,2569,5256,499,26531,2040816,0,Texas,Wilbarger,,,,,,,,
70,582000,4000000,41000000,Texas,Wilson,8314,2315,0,215,57143,585714,0,Texas,Wilson,,,,,,,,
1195,313000000,69000000,123000000000,Texas,Winkler,261925,3846,1296,1406,57741,102928870,0,Texas,Winkler,,,,,,,,
166,3000000,7000000,11000000000,Texas,Webb,18072,5246,3854,378,42169,66265060,0,Texas,Webb,,,,,,,,
127,18000,4000000,4000000000,Texas,Wood,142,5036,2086,189,31496,31496063,0,Texas,Wood,,,,,,,,
2556,59000000,241000000,247000000000,Texas,Yoakum,23083,5903,924,1925,94288,96635368,0,Texas,Yoakum,,,,,,,,
821,234000000,9000000,6000000000,Texas,Young,285018,2132,1714,467,10962,7308161,0,Texas,Young,,,,,,,,
123,28000,2000000000,2000000000,Texas,Zapata,228,2093,2296,158,16260163,16260163,0,Texas,Zapata,,,,,,,,
1207,20000000,39000000,101000000000,Utah,Duchese,16570,5643,726,3753,32312,83678542,0,Utah,Duchese,,,,,,,,
458,313000000,196000000,184000000,Utah,San Juan,683406,5757,1404,580,427948,401747,0,Utah,San Juan,,,,,,,,
